title,Action,Adventure,Animation,Children,Comedy,Crime,Documentary,Drama,Fantasy,Film-Noir,Horror,IMAX,Musical,Mystery,Romance,Sci-Fi,Thriller,War,Western
Toy Story,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Jumanji,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Grumpier Old Men,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Waiting to Exhale,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Father of the Bride Part II,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Heat,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
Sabrina,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Tom and Huck,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sudden Death,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GoldenEye,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"American President, The",0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Dracula: Dead and Loving It,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Balto,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nixon,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Cutthroat Island,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Casino,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Sense and Sensibility,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Four Rooms,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ace Ventura: When Nature Calls,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Money Train,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0
Get Shorty,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
Copycat,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0
Assassins,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
Powder,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
Leaving Las Vegas,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Othello,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Now and Then,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Persuasion,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
"City of Lost Children, The (Cité des enfants perdus, La)",0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0
Shanghai Triad (Yao a yao yao dao waipo qiao),0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Dangerous Minds,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Twelve Monkeys (a.k.a. 12 Monkeys),0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0
Babe,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Dead Man Walking,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
It Takes Two,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clueless,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Cry, the Beloved Country",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Richard III,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
Dead Presidents,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Restoration,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Mortal Kombat,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
To Die For,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
How to Make an American Quilt,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Seven (a.k.a. Se7en),0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
Pocahontas,0,0,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0
When Night Is Falling,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
"Usual Suspects, The",0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
Mighty Aphrodite,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Lamerica,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Big Green, The",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Georgia,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Home for the Holidays,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Postman, The (Postino, Il)",0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
"Indian in the Cupboard, The",0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Eye for an Eye,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
Mr. Holland's Opus,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Don't Be a Menace to South Central While Drinking Your Juice in the Hood,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Two if by Sea,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Bio-Dome,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lawnmower Man 2: Beyond Cyberspace,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
French Twist (Gazon maudit),0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Friday,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
From Dusk Till Dawn,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
Fair Game,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kicking and Screaming,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Misérables, Les",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
Bed of Roses,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Big Bully,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Screamers,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
Nico Icon,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Crossing Guard, The",1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
"Juror, The",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
"White Balloon, The (Badkonake sefid)",0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Things to Do in Denver When You're Dead,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
Antonia's Line (Antonia),0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Once Upon a Time... When We Were Colored,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Angels and Insects,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
White Squall,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Dunston Checks In,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Black Sheep,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nick of Time,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Mary Reilly,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
Vampire in Brooklyn,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
Beautiful Girls,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Broken Arrow,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
